"[78.25392282  1.49590847  1.14048002 20.00700331  1.31086582  0.58279281
  0.96141522]","[79.30718473899906, 1.1547600168071397, 0.059870834263031934, 18.962919215512432, 0.26163994409100433, 0.07438942138173166, 0.022005281422195187]"
"[ 9.78343888  3.96009464  0.88091932 17.06729894  1.29079477  0.55382471
  0.9989042 ]","[10.007990319346577, 3.4119310107520713, -0.1454017202576732, 16.49066582411433, 0.35764408825651833, -0.7135622919331067, -0.04738187906621424]"
"[40.37789416  2.82156639  1.07078308 13.72173914  1.48623611  1.65861469
  1.05920144]","[40.530042477299375, 2.2912635927159535, 0.19056161308022584, 13.062269514460855, 0.4305249232870793, 0.7986847741978771, 0.05312731639846439]"
"[62.80478794  1.05836193  0.95261624 16.78915944  0.65983477  0.06922237
  0.71226486]","[63.51124353447454, 0.006878320360118755, 0.05728529003882863, 15.718455666307433, -0.05336852725331251, 0.04267549603212378, 0.030861153981086607]"
"[58.78537239  2.69258981  0.82829047 15.73268562  1.10790717  0.38816793
  1.05651556]","[59.30599913219441, 1.3542303366063893, 0.06141640512704448, 14.711243298805575, -0.11485022757054407, 0.09839587168824748, 0.012204539643571313]"
"[ 6.68660911  1.41129753  1.27325963 21.69496277  1.07842422  1.53729164
  1.0739283 ]","[7.805220582936119, 0.667759157102579, 0.17093932658984967, 20.84169423769863, 0.09196498312960763, 1.0891195353730985, 0.012661123684417547]"
"[26.57094031  5.51929839  0.72097828 13.29006902  0.57709705  0.3606606
  0.80618678]","[26.646294863422444, 4.192237200717412, -0.08374383171292107, 12.40286440899684, -0.3265891705431332, -0.40604338735625756, -0.02137595663419766]"
"[25.28236736  4.33479534  1.75515622 14.07657691  1.28757742  1.74799616
  0.70027715]","[25.503877725477167, 3.54218423320599, 0.16209919694040986, 12.909644542540633, 0.12512377504510835, 0.7431545205657588, 0.04851915416917638]"
"[47.0527894   5.379304    0.89732736 18.36615814  0.83199043  1.58580634
  0.91851767]","[48.229402123890935, 4.015173119844275, 0.1873516503588569, 17.502206258642005, -0.07095123443862361, 1.0194180095706846, -0.0008941441235221191]"
"[ 6.28980157  3.41989441  0.92460707 16.37913301  1.03394686  1.18080241
  0.88972313]","[7.050116267231818, 2.452023929805834, -0.15827627160127353, 15.241171118323605, 0.09463398290872022, -0.6214964751260715, -0.07222948424000794]"
"[60.99279312  1.32067552  1.76269914 14.08222597  0.87442417  0.99695543
  0.98970722]","[61.29284513047615, 0.350507038217064, 0.19193794570214184, 13.522232681991369, 0.013479832428964542, 0.7549010740176592, 0.06219896869498673]"
"[71.78203425  3.41647919  0.95289914 13.21136731  0.95351972  1.73733699
  0.76590198]","[72.11569509209309, 2.0428249869326267, 0.01644396722770318, 12.352044562969294, -0.08907474330089556, 0.059764644111722935, -0.0032354648682841377]"
"[38.65513519  3.18684619  1.14075288 21.12366936  0.88925167  1.04377461
  0.67601891]","[39.47027392127737, 2.0140100565739703, 0.0916366419253875, 20.123747541412417, -0.07184532915787695, 0.38576889904751016, -0.01836183138410297]"
"[67.01986372  2.46361446  0.84381819 21.12509503  1.07070841  0.70837391
  0.90361242]","[68.12695068744398, 1.8006455124901344, -0.015773573295509862, 20.1151226715677, 0.1666171573864662, -0.14785194104004096, 0.00284091325841842]"
"[ 6.83640102  1.65157793  0.97493778 16.52600371  1.43067351  1.10201565
  1.39142894]","[7.339652836143174, 1.267546412590262, 0.05854838705122871, 15.707620230293694, 0.40710963162728253, 0.2304747946591279, 0.019527779506541224]"
