init,next
"[13.79952639  1.18452052  0.85608108 18.42588607  0.50252224  1.82759414
  1.20528377]","[14.02004254  3.00294506  0.85608108 18.42588607  0.86153761  4.78716861
  0.472673  ]"
"[ 4.82803279  5.22980737  0.99384051 17.30672735  0.17562271  1.71011933
  1.26815307]","[ 5.47942238  6.82257477  0.99384051 17.30672735  0.5592143   5.24423831
  0.51697046]"
"[72.61719144  3.70029511  1.09949063 16.25003681  0.69388513  0.81332658
  1.30708344]","[72.36231125  5.29507345  1.09949063 16.25003681  1.04838768  5.30701645
  0.57106606]"
"[72.53167487  2.34934603  0.94673037 15.16338624  0.80512073  1.55886481
  1.29248804]","[72.21152186  3.81936228  0.94673037 15.16338624  1.14810284  4.60050969
  0.50803814]"
"[12.7855846   3.39328767  0.94735853 20.03122315  0.8777264   0.90302015
  1.18711235]","[12.25336961  5.31474584  0.94735853 20.03122315  1.21846454  5.16058153
  0.51869358]"
"[50.46831764  1.32300081  1.0939314  18.51477027  0.55942248  1.13915046
  1.3026694 ]","[50.38199854  3.16280991  1.0939314  18.51477027  0.94838983  5.76050353
  0.56741139]"
"[71.30611709  3.42829221  0.94285016 20.05549727  0.55463493  0.35065811
  1.31478141]","[71.26918787  5.41784291  0.94285016 20.05549727  0.86034068  4.95197314
  0.58059005]"
"[46.19611937  5.45663655  0.9726812  15.98893437  0.4414427   1.81080874
  1.34281054]","[46.35544097  7.03446752  0.9726812  15.98893437  0.81299051  4.93610885
  0.52471534]"
"[22.27846023  4.77302469  1.00057586 21.84731636  0.83522327  0.74671176
  1.31041403]","[21.57428003  6.82754603  1.00057586 21.84731636  1.19183291  5.5981025
  0.58424942]"
"[11.20609398  3.08308572  0.86751865 14.01865825  0.29948016  1.73220595
  1.28985734]","[11.65672269  4.39660542  0.86751865 14.01865825  0.61888476  4.07520991
  0.47660754]"
"[69.08617385  1.58966239  0.8683082  21.10585679  0.13983304  1.44143235
  1.17552939]","[70.05470934  3.45372351  0.8683082  21.10585679  0.49576438  5.06891979
  0.48884847]"
"[44.06521599  6.02652721  0.90231631 17.115066    0.85518604  1.29279752
  1.17947075]","[43.71077589  7.69124897  0.90231631 17.115066    1.18722185  4.65750583
  0.48415841]"
"[24.41353352  4.94730785  1.17835856 17.34616494  0.16491782  0.34943687
  1.27784138]","[25.02193667  6.56313137  1.17835856 17.34616494  0.52410277  5.74253817
  0.59621853]"
"[35.80689098  4.71617253  0.93232176 18.61971956  0.30896554  1.49442534
  1.35352214]","[36.19023926  6.52237465  0.93232176 18.61971956  0.67209888  5.08816934
  0.54414303]"
"[56.75000756  4.21976813  0.91518163 20.47881041  0.29841742  0.34092993
  1.23921693]","[57.32568381  6.17139795  0.91518163 20.47881041  0.59709322  4.85277177
  0.55363367]"
"[12.34156144  3.44933936  1.12867514 18.50136273  0.25318044  1.54157694
  1.22911551]","[12.86830935  5.21663532  1.12867514 18.50136273  0.67600977  6.05538323
  0.5380374 ]"
"[ 8.90584044  3.00214714  0.88724322 18.61307928  0.34145202  1.30637057
  1.29128798]","[ 9.32146928  4.80165218  0.88724322 18.61307928  0.68013161  4.80489565
  0.52243543]"
"[32.67538594  4.36767815  1.08534159 19.15000902  0.36200313  0.34893371
  1.21949944]","[33.06447775  6.23443755  1.08534159 19.15000902  0.70552421  5.56106943
  0.56662701]"
